gene_name;gi;pident;evalue;description
THTET00000009635;gi|1239396161|sp|A0A0E4AZP4.1|FSA7_FUSSF;24.479;4.28E-21;"RecName: Full=MFS transporter fsa7; AltName: Full=Fusarisetin A biosynthesis protein 7"
THTET00000010185;gi|19856107|sp|P14068.3|XPO1_SCHPO;58.287;0;"RecName: Full=Exportin-1; AltName: Full=Caffeine resistance protein 2; AltName: Full=Chromosome region maintenance protein 1"
THTET00000010174;gi|74654581|sp|O14099.1|YERG_SCHPO;51.417;2.58E-86;RecName: Full=Uncharacterized RING finger protein C2F3.16
THTET00000010214;gi|308191562|sp|C0H5F4.1|RBP2B_PLAF7;32.979;0.17;RecName: Full=Reticulocyte binding protein 2 homolog b
THTET00000009959;gi|30580640|sp|Q9P5N7.1|TFB1_NEUCR;58.069;0;"RecName: Full=General transcription and DNA repair factor IIH subunit tcf-29; Short=TFIIH subunit tcf-29; AltName: Full=RNA polymerase II transcription factor B 73 kDa subunit; AltName: Full=RNA polymerase II transcription factor B p73 subunit; AltName: Full=RNA polymerase II transcription factor B subunit 1; AltName: Full=Transcription factor-29"
THTET00000009990;gi|44888525|sp|Q924T3.1|XRCC4_MOUSE;28.696;4.99E-05;"RecName: Full=DNA repair protein XRCC4; AltName: Full=X-ray repair cross-complementing protein 4"
THTET00000009851;gi|1175459|sp|Q09788.1|ASL1_SCHPO;28.829;1.42E-15;"RecName: Full=Alkali-sensitive linkage protein 1; Flags: Precursor"
THTET00000009927;gi|1730047|sp|P53387.1|KHT2_KLULC;39.777;2.26E-126;RecName: Full=Hexose transporter 2
THTET00000009578;gi|306526242|sp|Q61IS6.2|SPK1_CAEBR;41.912;2.16E-16;RecName: Full=Serine/threonine-protein kinase spk-1
THTET00000010008;gi|731835|sp|P40505.1|SDS3_YEAST;20;0.008;"RecName: Full=Transcriptional regulatory protein SDS3; AltName: Full=Suppressor of defective silencing protein 3"
THTET00000009575;gi|126258167|sp|Q2GN49.1|BTN1_CHAGB;75.82;0;RecName: Full=Protein BTN1
THTET00000009849;gi|1723421|sp|Q10235.1|ALP11_SCHPO;39.749;9.42E-56;"RecName: Full=Cell polarity protein alp11; AltName: Full=Altered polarity protein 11"
THTET00000009876;gi|81480647|sp|Q8R7M2.1|COAX_CALS4;32.727;3.5;"RecName: Full=Type III pantothenate kinase; AltName: Full=PanK-III; AltName: Full=Pantothenic acid kinase"
THTET00000010146;gi|75543881|sp|Q98M06.1|FENR_RHILO;34.091;3.69E-04;"RecName: Full=Ferredoxin--NADP reductase; Short=FNR; Short=Fd-NADP("
THTET00000010122;gi|50401359|sp|P62505.1|DAD3_SCHPO;39.241;1.64E-11;"RecName: Full=DASH complex subunit dad3; AltName: Full=Outer kinetochore protein dad3"
THTET00000010017;gi|223635581|sp|A3DMX7.1|PELO_STAMF;40.323;6.6;RecName: Full=Protein pelota homolog
THTET00000010104;gi|6016450|sp|Q12265.1|KPR5_YEAST;46.078;8.11E-137;"RecName: Full=Ribose-phosphate pyrophosphokinase 5; AltName: Full=Phosphoribosyl pyrophosphate synthase 5"
THTET00000009651;gi|30315956|sp|Q9UV10.1|HET6_NEUCR;29.032;1.1;"RecName: Full=Heterokaryon incompatibility protein 6, OR allele; Short=Het-6(OR)"
THTET00000010050;gi|74582559|sp|O74797.1|YGN3_SCHPO;49.324;7.65E-47;RecName: Full=UPF0587 protein C2D10.03c
THTET00000010057;gi|74662718|sp|Q7SBX8.1|CWC27_NEUCR;69.399;0;"RecName: Full=Peptidyl-prolyl isomerase cwc-27; Short=PPIase cwc-27; AltName: Full=Rotamase cwc-27"
THTET00000009723;gi|30316376|sp|Q12640.2|AROC_NEUCR;84.161;0;"RecName: Full=Chorismate synthase; AltName: Full=5-enolpyruvylshikimate-3-phosphate phospholyase"
THTET00000009915;gi|1352875|sp|P47104.1|RAV1_YEAST;29.68;4.85E-169;"RecName: Full=Regulator of V-ATPase in vacuolar membrane protein 1; AltName: Full=Suppression of the onset of impotence protein 3"
THTET00000010204;gi|558446159|sp|E0ZS47.1|UREG_ORYSI;72.222;1.65E-116;"RecName: Full=Urease accessory protein G; Short=AtUREG"
THTET00000009810;gi|3915759|sp|P36044.2|MNN4_YEAST;34.066;3.29E-18;RecName: Full=Protein MNN4
THTET00000009810;gi|3915759|sp|P36044.2|MNN4_YEAST;45;0.082;RecName: Full=Protein MNN4
THTET00000009882;gi|41017789|sp|Q9C3Y4.1|RHOA_EMENI;86.387;1.19E-118;"RecName: Full=GTP-binding protein rhoA; AltName: Full=Rho1 protein homolog; Flags: Precursor"
THTET00000009794;gi|1109545943|sp|A0A0N6WJC7.1|DHC4_ALTCI;26.744;1.84E-31;"RecName: Full=Dehydrocurvularin biosynthesis regulator; AltName: Full=Dehydrocurvularin biosynthesis protein 4"
THTET00000010024;gi|261277875|sp|A5PJJ7.1|S16C6_BOVIN;31.228;1.41E-36;RecName: Full=Short-chain dehydrogenase/reductase family 16C member 6
THTET00000009709;gi|25090320|sp|Q9HE18.1|FAEB_PENFN;75;1.50E-11;"RecName: Full=Feruloyl esterase B; AltName: Full=Cinnamoyl esterase; AltName: Full=Ferulic acid esterase B; Short=FAEB; Flags: Precursor"
THTET00000010067;gi|21264057|sp|Q9P567.1|SUCB_NEUCR;89.485;0;"RecName: Full=Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial; AltName: Full=Succinyl-CoA synthetase beta chain; Short=SCS-beta; Flags: Precursor"
THTET00000010121;gi|7674348|sp|P56926.1|SYQ_DEIRA;35.714;2.1;"RecName: Full=Glutamine--tRNA ligase; AltName: Full=Glutaminyl-tRNA synthetase; Short=GlnRS"
THTET00000009830;gi|313471383|sp|Q8LKS5.2|LACS7_ARATH;38.782;1.44E-144;RecName: Full=Long chain acyl-CoA synthetase 7, peroxisomal
THTET00000009748;gi|14286111|sp|P49365.2|DHYS_NEUCR;85.955;0;"RecName: Full=Deoxyhypusine synthase; Short=DHS"
THTET00000010166;gi|667467001|sp|E9ERT9.1|CHI1_METRA;28;3.8;"RecName: Full=Endochitinase 1; AltName: Full=Chitinase 1; Flags: Precursor"
THTET00000009763;gi|20141827|sp|P13334.2|PORTL_BPT4;33.871;6.2;"RecName: Full=Portal protein; AltName: Full=Gene product 20; AltName: Full=gp20"
THTET00000009619;gi|166980183|sp|A6WLX6.1|Y1670_SHEB8;37.037;0.83;RecName: Full=UPF0434 protein Shew185_1670
THTET00000009840;gi|1175479|sp|Q09808.1|SMN1_SCHPO;39.161;4.43E-17;RecName: Full=Survival motor neuron-like protein 1
THTET00000009696;gi|74582883|sp|O94420.1|YQGD_SCHPO;26.667;3.88E-15;RecName: Full=Probable phosphatase C1620.13
THTET00000009839;gi|74627204|sp|Q04585.1|YDR09_YEAST;52.662;0;RecName: Full=Uncharacterized sugar kinase YDR109C
THTET00000009839;gi|74627204|sp|Q04585.1|YDR09_YEAST;32.394;5.62E-04;RecName: Full=Uncharacterized sugar kinase YDR109C
THTET00000010069;gi|3023956|sp|Q00808.1|HETE1_PODAS;21.074;2.11E-21;RecName: Full=Vegetative incompatibility protein HET-E-1
THTET00000009757;gi|74675893|sp|O13515.1|YA034_YEAST;27.027;0.66;"RecName: Full=Putative uncharacterized protein YAL034C-B; Flags: Precursor"
THTET00000009953;gi|229470359|sp|Q9JL25.2|RGS1_MOUSE;23.529;0.002;"RecName: Full=Regulator of G-protein signaling 1; Short=RGS1"
THTET00000009761;gi|731945|sp|P39529.1|YJU6_YEAST;28.704;4.73E-15;RecName: Full=Putative transcriptional regulatory protein YJL206C
THTET00000009860;gi|74654580|sp|O13987.1|YEG5_SCHPO;25.136;8.91E-37;RecName: Full=Ankyrin and IPT/TIG repeat-containing protein C26H5.05
THTET00000009925;gi|123176909|sp|Q1AR91.1|REX_RUBXD;31.683;0.11;RecName: Full=Redox-sensing transcriptional repressor Rex
THTET00000009658;gi|1175363|sp|P44094.1|DEND_HAEIN;33.651;5.47E-44;RecName: Full=D-erythronate dehydrogenase
THTET00000010074;gi|122313196|sp|Q0AE53.1|PNP_NITEC;33.898;0.2;"RecName: Full=Polyribonucleotide nucleotidyltransferase; AltName: Full=Polynucleotide phosphorylase; Short=PNPase"
THTET00000009625;gi|118572553|sp|Q2GMX1.1|HAS1_CHAGB;83.221;0;RecName: Full=ATP-dependent RNA helicase HAS1
THTET00000010038;gi|15214254|sp|O74994.1|RNG3_SCHPO;26.483;1.35E-32;RecName: Full=Ring assembly protein 3
THTET00000009602;gi|18202841|sp|Q9D0N7.1|CAF1B_MOUSE;33.824;5;"RecName: Full=Chromatin assembly factor 1 subunit B; Short=CAF-1 subunit B; AltName: Full=Chromatin assembly factor I p60 subunit; Short=CAF-I 60 kDa subunit; Short=CAF-I p60"
THTET00000010099;gi|46397296|sp|Q9UUB8.1|YH9J_SCHPO;49.787;1.53E-72;RecName: Full=NifU-like protein C1709.19c
THTET00000010216;gi|1723932|sp|P53112.1|PEX14_YEAST;41.509;0.006;"RecName: Full=Peroxisomal membrane protein PEX14; AltName: Full=Peroxin-14"
THTET00000009609;gi|3023397|sp|Q92247.1|BLI4_NEUCR;66.476;4.42E-173;"RecName: Full=Putative oxidoreductase bli-4, mitochondrial; AltName: Full=Blue light-induced protein 4; Flags: Precursor"
THTET00000009902;gi|357528817|sp|Q92412.2|LYS4_EMENI;63.782;0;"RecName: Full=Homoaconitase, mitochondrial; AltName: Full=Homoaconitate hydratase; Flags: Precursor"
THTET00000009992;gi|3183368|sp|O13890.1|YE35_SCHPO;41.875;1.15E-153;RecName: Full=UPF0061 protein C20G4.05c
THTET00000009822;gi|46577103|sp|Q91V41.3|RAB14_MOUSE;37.102;1.24E-52;RecName: Full=Ras-related protein Rab-14
THTET00000010031;gi|259016400|sp|Q9USW0.2|YHZ2_SCHPO;25.714;3.51E-07;RecName: Full=Uncharacterized protein C21B10.02
THTET00000009674;gi|296439417|sp|Q569K6.3|CC157_HUMAN;29.371;4.2;RecName: Full=Coiled-coil domain-containing protein 157
THTET00000009714;gi|81732258|sp|Q888A4.1|RNLS_PSESM;22.857;0.74;RecName: Full=Renalase
THTET00000010098;gi|74623693|sp|Q9C0V4.1|YOM2_SCHPO;38.426;2.23E-35;RecName: Full=Uncharacterized protein PB7E8.02
THTET00000009940;gi|12644354|sp|P78963.2|SKB1_SCHPO;35.093;4.39E-127;"RecName: Full=Protein arginine N-methyltransferase skb1; AltName: Full=Shk1 kinase-binding protein 1; AltName: Full=Type II protein arginine N-methyltransferase; Short=Type II PRMT"
THTET00000010114;gi|549669|sp|P36095.1|VPS24_YEAST;32.377;3.26E-35;"RecName: Full=Vacuolar protein-sorting-associated protein 24; AltName: Full=DOA4-independent degradation protein 3; AltName: Full=ESCRT-III complex subunit VPS24"
THTET00000009947;gi|127277|sp|P23641.1|MPCP_YEAST;58.94;1.47E-123;"RecName: Full=Mitochondrial phosphate carrier protein; AltName: Full=Mitochondrial import receptor; AltName: Full=Phosphate transport protein; Short=PTP; AltName: Full=mPic 1; AltName: Full=p32; Contains: RecName: Full=Mitochondrial phosphate carrier protein, N-terminally processed"
THTET00000009729;gi|81699349|sp|Q72L95.1|SIGA_THET2;29.167;2.1;RecName: Full=RNA polymerase sigma factor SigA
THTET00000009632;gi|410516935|sp|Q4HWB3.3|YA745_GIBZE;42.287;1.18E-70;RecName: Full=Uncharacterized protein FGSG_10745
THTET00000009843;gi|82120398|sp|Q9W7R4.1|TEN3_DANRE;29.592;1.1;"RecName: Full=Teneurin-3; Short=Ten-3; AltName: Full=Protein Odd Oz/ten-m homolog 3; AltName: Full=Tenascin-M3; Short=Ten-m3; AltName: Full=Teneurin transmembrane protein 3"
THTET00000010193;gi|462150|sp|P34904.1|GBRG4_CHICK;24.242;0.79;"RecName: Full=Gamma-aminobutyric acid receptor subunit gamma-4; AltName: Full=GABA(A) receptor subunit gamma-4; Flags: Precursor"
THTET00000009643;gi|613782292|sp|P9WI98.1|Y3168_MYCTO;26.54;0.002;"RecName: Full=Putative aminoglycoside phosphotransferase; AltName: Full=Putative aminoglycoside antibiotics resistance enzyme"
THTET00000010226;gi|47117605|sp|Q8WZY3.1|YBG3_NEUCR;54.444;6.68E-30;"RecName: Full=Uncharacterized protein B24G3.190; Flags: Precursor"
THTET00000010207;gi|38258938|sp|Q15907.4|RB11B_HUMAN;72.685;6.95E-111;"RecName: Full=Ras-related protein Rab-11B; AltName: Full=GTP-binding protein YPT3; Flags: Precursor"
THTET00000009707;gi|74625806|sp|Q9URX1.1|YLX5_SCHPO;49.687;3.04E-152;RecName: Full=UNC93-like protein C922.05c
THTET00000009804;gi|52782986|sp|Q9P5U4.1|GRPE_NEUCR;66.135;2.13E-111;"RecName: Full=GrpE protein homolog, mitochondrial; Flags: Precursor"
THTET00000009573;gi|82186704|sp|Q6P9I7.1|SMC6_XENLA;31.818;0.97;"RecName: Full=Structural maintenance of chromosomes protein 6; Short=SMC protein 6; Short=SMC-6; Short=xSMC6"
THTET00000010175;gi|75028976|sp|Q9XWG3.1|TYDP2_CAEEL;23.897;2.68E-09;"RecName: Full=5'-tyrosyl-DNA phosphodiesterase; Short=5'-Tyr-DNA phosphodiesterase"
THTET00000009981;gi|48428250|sp|Q8CQD9.1|PLS_STAES;39.024;8.4;"RecName: Full=Accumulation-associated protein; Flags: Precursor"
THTET00000009782;gi|74622660|sp|Q8X092.1|ALG11_NEUCR;69.377;0;"RecName: Full=GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase; AltName: Full=Alpha-1,2-mannosyltransferase alg-11; AltName: Full=Asparagine-linked glycosylation protein 11; AltName: Full=Glycolipid 2-alpha-mannosyltransferase"
THTET00000010228;gi|121780402|sp|Q2GVK6.1|KAD2_CHAGB;90.909;0;"RecName: Full=Adenylate kinase; AltName: Full=ATP-AMP transphosphorylase; AltName: Full=ATP:AMP phosphotransferase; AltName: Full=Adenylate kinase cytosolic and mitochondrial; AltName: Full=Adenylate monophosphate kinase"
THTET00000009970;gi|74596131|sp|Q5B5P1.1|RGLC_EMENI;47.557;9.84E-78;"RecName: Full=Probable rhamnogalacturonate lyase C; Flags: Precursor"
THTET00000009576;gi|74949025|sp|Q9W436.2|NEP_DROME;27.548;9.79E-76;RecName: Full=Neprilysin-1
THTET00000009694;gi|115642|sp|P22929.1|CARP_SACFI;27.197;4.46E-06;"RecName: Full=Acid protease; Flags: Precursor"
THTET00000010124;gi|3024102|sp|Q28585.1|LSHR_SHEEP;24.242;0.71;"RecName: Full=Lutropin-choriogonadotropic hormone receptor; Short=LH/CG-R; AltName: Full=Luteinizing hormone receptor; Short=LSH-R"
THTET00000009725;gi|74856765|sp|Q54YP4.1|VPS11_DICDI;31.395;1.68E-155;RecName: Full=Vacuolar protein sorting-associated protein 11 homolog
THTET00000009630;gi|1350795|sp|P36525.2|RM24_YEAST;42.188;7.45E-30;"RecName: Full=54S ribosomal protein L24, mitochondrial; AltName: Full=Mitochondrial large ribosomal subunit protein bL28m; AltName: Full=YmL14/YmL24; Flags: Precursor"
THTET00000010220;gi|74610369|sp|Q6FUH3.1|GON7_CANGA;41.86;7.79E-05;RecName: Full=EKC/KEOPS complex subunit GON7
THTET00000009594;gi|74619905|sp|Q872S3.1|OS9_NEUCR;49.63;4.94E-128;"RecName: Full=Protein OS-9 homolog; Flags: Precursor"
THTET00000009969;gi|74626029|sp|Q9UUI3.1|SA145_SCHPO;37.943;1.14E-85;"RecName: Full=Pre-mRNA-splicing factor sap145; AltName: Full=Spliceosome-associated protein 145"
THTET00000009907;gi|74625244|sp|Q9P6B0.2|YPI1_NEUCR;64.368;1.88E-27;RecName: Full=Type 1 phosphatases regulator ypi-1
THTET00000009896;gi|338818168|sp|C4XXL5.1|GEP3_CLAL4;23.176;1.89E-09;"RecName: Full=Genetic interactor of prohibitins 3, mitochondrial; AltName: Full=Found in mitochondrial proteome protein 38; Flags: Precursor"
THTET00000009962;gi|586344|sp|P38323.1|CLPX_YEAST;38.372;1.14E-97;"RecName: Full=ATP-dependent clpX-like chaperone, mitochondrial; Short=mtClpX; AltName: Full=ATP-dependent unfoldase ClpX; Flags: Precursor"
THTET00000010092;gi|1710663|sp|Q10233.1|RPC2_SCHPO;62.272;0;"RecName: Full=DNA-directed RNA polymerase III subunit RPC2; Short=RNA polymerase III subunit 2; Short=RNA polymerase III subunit C2; AltName: Full=C128; AltName: Full=DNA-directed RNA polymerase III 130 kDa polypeptide; AltName: Full=RPC130"
THTET00000009646;gi|73619540|sp|Q5NZF6.1|BIOH_AROAE;30.435;0.79;"RecName: Full=Pimeloyl-[acyl-carrier protein] methyl ester esterase; AltName: Full=Biotin synthesis protein BioH; AltName: Full=Carboxylesterase BioH"
THTET00000010102;gi|74854266|sp|Q54PQ4.1|GEFA_DICDI;28.676;1.64E-27;"RecName: Full=Ras guanine nucleotide exchange factor A; Short=Aimless; AltName: Full=RasGEF domain-containing protein A"
THTET00000010102;gi|74854266|sp|Q54PQ4.1|GEFA_DICDI;27.451;0.11;"RecName: Full=Ras guanine nucleotide exchange factor A; Short=Aimless; AltName: Full=RasGEF domain-containing protein A"
THTET00000010158;gi|74581963|sp|O14113.1|SDE2_SCHPO;51.724;3.90E-18;"RecName: Full=Telomere maintenance protein SDE2; AltName: Full=Silencing defective protein 2"
THTET00000010157;gi|259016201|sp|O94581.2|COX12_SCHPO;65.854;7.38E-35;"RecName: Full=Cytochrome c oxidase subunit 6B; AltName: Full=Cytochrome c oxidase polypeptide VIb"
THTET00000009842;gi|74625949|sp|Q9UTF0.1|YIN2_SCHPO;42.424;0.07;RecName: Full=SERF-like protein C1705.02
THTET00000009669;gi|1063797034|sp|Q4I9U7.2|DPH3_GIBZE;66.279;1.70E-36;RecName: Full=Diphthamide biosynthesis protein 3
THTET00000009633;gi|75042478|sp|Q5REB0.1|AATM_PONAB;64.141;0;"RecName: Full=Aspartate aminotransferase, mitochondrial; Short=mAspAT; AltName: Full=Fatty acid-binding protein; Short=FABP-1; AltName: Full=Glutamate oxaloacetate transaminase 2; AltName: Full=Kynurenine aminotransferase 4; AltName: Full=Kynurenine aminotransferase IV; AltName: Full=Kynurenine--oxoglutarate transaminase 4; AltName: Full=Kynurenine--oxoglutarate transaminase IV; AltName: Full=Plasma membrane-associated fatty acid-binding protein; Short=FABPpm; AltName: Full=Transaminase A; Flags: Precursor"
THTET00000009828;gi|147640257|sp|Q5SUQ9.2|CTC1_MOUSE;42.424;0.8;"RecName: Full=CST complex subunit CTC1; AltName: Full=Alpha-accessory factor of 132 kDa; Short=AAF-132; Short=AAF132; AltName: Full=Conserved telomere maintenance component 1"
THTET00000009960;gi|730221|sp|P20967.2|ODO1_YEAST;64.308;0;"RecName: Full=2-oxoglutarate dehydrogenase, mitochondrial; AltName: Full=2-oxoglutarate dehydrogenase complex component E1; Short=OGDC-E1; AltName: Full=Alpha-ketoglutarate dehydrogenase; Flags: Precursor"
THTET00000009612;gi|1338308337|sp|E9L011.1|UGTB1_STABO;30.043;4.49E-54;RecName: Full=UDP-glucosyltransferase B1
THTET00000009617;gi|327478597|sp|Q76MJ5.4|ERN2_HUMAN;33.898;2.99E-08;"RecName: Full=Serine/threonine-protein kinase/endoribonuclease IRE2; AltName: Full=Endoplasmic reticulum-to-nucleus signaling 2; AltName: Full=Inositol-requiring protein 2; Short=hIRE2p; AltName: Full=Ire1-beta; Short=IRE1b; Includes: RecName: Full=Serine/threonine-protein kinase; Includes: RecName: Full=Endoribonuclease; Flags: Precursor"
THTET00000010043;gi|980952075|sp|D4B387.1|GGT1_ARTBC;49.267;0;"RecName: Full=Glutathione hydrolase proenzyme; AltName: Full=Gamma-glutamyltransferase ARB_02921; AltName: Full=Gamma-glutamyltranspeptidase; Short=Gamma-GT; AltName: Full=Leukotriene-C4 hydrolase; Contains: RecName: Full=Glutathione hydrolase heavy chain; Contains: RecName: Full=Glutathione hydrolase light chain; Flags: Precursor"
THTET00000009719;gi|259016217|sp|O13765.2|DBR1_SCHPO;33.333;3.1;RecName: Full=Lariat debranching enzyme
THTET00000009796;gi|74582939|sp|O94580.1|YQ77_SCHPO;41.089;1.90E-37;RecName: Full=Ubiquitin and WLM domain-containing metalloprotease SPCC1442.07c
THTET00000010163;gi|73917776|sp|Q5ZL55.3|CHMP6_CHICK;44.91;4.09E-41;"RecName: Full=Charged multivesicular body protein 6; AltName: Full=Chromatin-modifying protein 6"
THTET00000009936;gi|1709995|sp|P26659.2|RAD15_SCHPO;71.768;0;"RecName: Full=General transcription and DNA repair factor IIH helicase subunit XPD; Short=TFIIH subunit XPD; AltName: Full=DNA repair helicase RAD3 homolog; Short=Protein rhp3; AltName: Full=DNA repair helicase rad15; AltName: Full=RNA polymerase II transcription factor B subunit rad15; Short=TFB subunit rad15"
THTET00000009812;gi|121807816|sp|Q2VF18.1|DCL2_CRYPA;44.497;0;"RecName: Full=Dicer-like protein 2; Includes: RecName: Full=Endoribonuclease DCL-2; Includes: RecName: Full=ATP-dependent helicase DCL-2"
THTET00000009583;gi|5921175|sp|P35817.3|BDF1_YEAST;25.47;1.44E-37;RecName: Full=Bromodomain-containing factor 1
THTET00000010118;gi|81693754|sp|Q5HD73.1|Y2488_STAAC;27.004;5.25E-13;RecName: Full=Uncharacterized oxidoreductase SACOL2488
THTET00000010026;gi|74626739|sp|O59700.1|YN43_SCHPO;48.25;4.76E-167;RecName: Full=Uncharacterized transporter C36.03c
THTET00000009741;gi|74682361|sp|Q5K8R6.1|CXT1_CRYNJ;25.36;5.58E-16;"RecName: Full=Beta-1,2-xylosyltransferase 1; Short=Cxt1p"
THTET00000009741;gi|74682361|sp|Q5K8R6.1|CXT1_CRYNJ;31.847;1.07E-15;"RecName: Full=Beta-1,2-xylosyltransferase 1; Short=Cxt1p"
THTET00000009917;gi|74626597|sp|O13648.3|ANM3_SCHPO;38.156;8.46E-119;RecName: Full=Ribosomal protein arginine N-methyltransferase rmt3
THTET00000009779;gi|857215733|sp|G0S235.1|NDC1_CHATD;60.876;0;"RecName: Full=Nucleoporin NDC1; AltName: Full=Nuclear pore protein NDC1"
THTET00000009880;gi|731421|sp|P39981.1|AVT2_YEAST;41.244;3.93E-106;RecName: Full=Vacuolar amino acid transporter 2
THTET00000009656;gi|73917651|sp|Q84VW9.2|CAPP3_ARATH;35.294;5.8;"RecName: Full=Phosphoenolpyruvate carboxylase 3; Short=AtPPC3; Short=PEPC 3; Short=PEPCase 3"
THTET00000010072;gi|1109549991|sp|D7UQ41.1|SOL4_ALTSO;38.943;2.17E-98;"RecName: Full=Probable transcription factor sol4; AltName: Full=Solanapyrone biosynthesis protein 4"
THTET00000009888;gi|187470855|sp|Q5XHX2.2|TPRN_RAT;34.118;1.5;RecName: Full=Taperin
THTET00000009705;gi|75337443|sp|Q9SN43.1|CIPKC_ARATH;27.517;3.50E-05;"RecName: Full=CBL-interacting serine/threonine-protein kinase 12; AltName: Full=SNF1-related kinase 3.9; AltName: Full=SOS2-like protein kinase PKS8"
THTET00000009945;gi|2497179|sp|Q12751.1|RTP1_YEAST;24.749;2.30E-12;"RecName: Full=RNA polymerase II assembly factor RTP1; AltName: Full=Required for nuclear transport of RNA pol II protein 1; AltName: Full=Transport and Golgi organization protein 6 homolog"
THTET00000009789;gi|74671558|sp|Q4WPW2.1|EAF3_ASPFU;56.15;1.05E-68;RecName: Full=Chromatin modification-related protein eaf3
THTET00000010085;gi|1723668|sp|P53234.1|YG21_YEAST;21.961;1.14E-12;RecName: Full=Uncharacterized protein YGR053C
THTET00000010006;gi|338817857|sp|Q9JHX6.2|ALLC_MOUSE;26.667;2.2;"RecName: Full=Probable allantoicase; AltName: Full=Allantoate amidinohydrolase"
THTET00000009750;gi|74629671|sp|Q8J0G0.1|MLCH_PENCI;33.816;1.88E-63;"RecName: Full=Acyltransferase mlcH; AltName: Full=Compactin biosynthesis protein H"
THTET00000010088;gi|83300864|sp|P80235.2|CACM_YEAST;45.664;1.66E-145;RecName: Full=Putative mitochondrial carnitine O-acetyltransferase
THTET00000010088;gi|83300864|sp|P80235.2|CACM_YEAST;56.383;3.40E-21;RecName: Full=Putative mitochondrial carnitine O-acetyltransferase
THTET00000010082;gi|46397809|sp|O94394.2|YQF1_SCHPO;28.571;3.17E-31;RecName: Full=Uncharacterized WD repeat-containing protein C126.01c
THTET00000009716;gi|261260092|sp|Q9CTN4.3|RHBT3_MOUSE;32;0.12;RecName: Full=Rho-related BTB domain-containing protein 3
THTET00000009622;gi|327488534|sp|Q4WFS2.2|Y1220_ASPFU;34.071;7.67E-62;"RecName: Full=Probable aspartic-type endopeptidase AFUA_3G01220; Flags: Precursor"
THTET00000009898;gi|82583720|sp|O01761.3|UNC89_CAEEL;24.783;0.031;"RecName: Full=Muscle M-line assembly protein unc-89; AltName: Full=Obscurin; AltName: Full=Uncoordinated protein 89"
THTET00000009898;gi|82583720|sp|O01761.3|UNC89_CAEEL;25.217;1.1;"RecName: Full=Muscle M-line assembly protein unc-89; AltName: Full=Obscurin; AltName: Full=Uncoordinated protein 89"
THTET00000009898;gi|82583720|sp|O01761.3|UNC89_CAEEL;20.961;4.9;"RecName: Full=Muscle M-line assembly protein unc-89; AltName: Full=Obscurin; AltName: Full=Uncoordinated protein 89"
THTET00000009720;gi|81675443|sp|Q5HRU2.1|SLE1_STAEQ;40.741;7.40E-08;"RecName: Full=N-acetylmuramoyl-L-alanine amidase sle1; Flags: Precursor"
THTET00000009951;gi|119370623|sp|Q29PZ1.1|GRC10_ARATH;25.882;1.7;"RecName: Full=Glutaredoxin-C10; Short=AtGrxC10; AltName: Full=Protein ROXY 20"
THTET00000009676;gi|952543426|sp|P0DN32.1|CUPR1_ARTBC;34.01;1.79E-24;"RecName: Full=Probable GPI-anchored cupredoxin ARB_05732-1; Flags: Precursor"
THTET00000009863;gi|46395959|sp|Q9C102.1|GLT1_SCHPO;68.858;0;"RecName: Full=Putative glutamate synthase [NADPH]; AltName: Full=NADPH-GOGAT"
THTET00000009815;gi|259016399|sp|O13640.2|YGWH_SCHPO;33.79;5.12E-40;"RecName: Full=Uncharacterized alpha-1,2-galactosyltransferase C8D2.17; Flags: Precursor"
THTET00000009845;gi|1279751536|sp|A0A1X9QHJ0.1|DMS1D_WHEAT;28.438;2.26E-12;RecName: Full=Deoxymugineic acid synthase 1-D
THTET00000010116;gi|81903181|sp|Q99LX8.1|OST4_MOUSE;37.838;0.008;RecName: Full=Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4
THTET00000009820;gi|239983875|sp|C0SPB2.1|YWTG_BACSU;28.009;6.24E-49;RecName: Full=Putative metabolite transport protein YwtG
THTET00000010036;gi|62512161|sp|O95239.3|KIF4A_HUMAN;39.698;4.85E-75;"RecName: Full=Chromosome-associated kinesin KIF4A; AltName: Full=Chromokinesin-A"
THTET00000010094;gi|26006794|sp|Q9R1T9.1|KCNH4_RAT;32.099;0.85;"RecName: Full=Potassium voltage-gated channel subfamily H member 4; AltName: Full=Brain-specific eag-like channel 2; Short=BEC2; AltName: Full=Ether-a-go-go-like potassium channel 1; Short=ELK channel 1; Short=rElk1; AltName: Full=Voltage-gated potassium channel subunit Kv12.3"
THTET00000009900;gi|27923796|sp|O61267.1|LOK_DROME;34.653;1.43E-10;"RecName: Full=Ovarian-specific serine/threonine-protein kinase Lok; AltName: Full=Protein loki; AltName: Full=dMNK"
THTET00000009755;gi|52782761|sp|Q9P3I3.1|ARGD_NEUCR;73.638;0;"RecName: Full=Acetylornithine aminotransferase, mitochondrial; Short=ACOAT; Flags: Precursor"
THTET00000010205;gi|75446780|sp|Q8G9F9.1|INHA_PSEPU;33.168;1.32E-15;"RecName: Full=Isonitrile hydratase; AltName: Full=Cyclohexyl-isocyanide hydratase"
